race_ethnicity,religion,sexual_orientation,year_of_award,award,movie
White,Na,Straight,1927,Best Director,Two Arabian Knights
White,Na,Straight,1930,Best Director,The Divine Lady
White,Na,Straight,1931,Best Director,All Quiet on the Western Front
White,Na,Straight,1932,Best Director,Skippy
White,Roman Catholic,Straight,1933,Best Director,Bad Girl
White,Na,Straight,1934,Best Director,Cavalcade
White,Roman Catholic,Straight,1935,Best Director,It Happened One Night
White,Roman Catholic,Bisexual,1936,Best Director,The Informer
White,Roman Catholic,Straight,1937,Best Director,Mr. Deeds Goes to Town
White,Na,Straight,1938,Best Director,The Awful Truth
White,Roman Catholic,Straight,1939,Best Director,You Can't Take It with You
White,Na,Straight,1940,Best Director,Gone with the Wind
White,Roman Catholic,Bisexual,1941,Best Director,The Grapes of Wrath
White,Roman Catholic,Bisexual,1942,Best Director,How Green Was My Valley
White,Na,Straight,1943,Best Director,Mrs. Miniver
White,Na,Straight,1944,Best Director,Casablanca
White,Na,Straight,1945,Best Director,Going My Way
White,Jewish,Gay,1962,Best Director,West Side Story
White,Jewish,Straight,1946,Best Director,The Lost Weekend
White,Na,Straight,1947,Best Director,The Best Years of Our Lives
White,Na,Straight,1948,Best Director,Gentleman's Agreement
White,Na,Straight,1949,Best Director,The Treasure of the Sierra Madre
White,Jewish,Straight,1950,Best Director,A Letter to Three Wives
White,Jewish,Straight,1951,Best Director,All About Eve
White,Na,Straight,1952,Best Director,A Place in the Sun
White,Roman Catholic,Bisexual,1953,Best Director,The Quiet Man
White,Jewish,Straight,1954,Best Director,From Here to Eternity
White,Na,Straight,1955,Best Director,On the Waterfront
White,Presbyterian,Straight,1956,Best Director,Marty
White,Na,Straight,1957,Best Director,Giant
White,Na,Straight,1958,Best Director,The Bridge on the River Kwai
White,Na,Bisexual,1959,Best Director,Gigi
White,Na,Straight,1960,Best Director,Ben-Hur
White,Jewish,Straight,1961,Best Director,The Apartment
White,Na,Straight,1961,Best Director,West Side Story
White,Na,Straight,1963,Best Director,Lawrence of Arabia
White,Na,Bisexual,1964,Best Director,Tom Jones
White,Na,Gay,1965,Best Director,My Fair Lady
White,Na,Straight,1966,Best Director,The Sound of Music
White,Jewish,Straight,1967,Best Director,A Man for All Seasons
White,Jewish,Straight,1968,Best Director,The Graduate
White,Jewish,Straight,2008,Best Director,No Country for Old Men
White,Na,Straight,1969,Best Director,Oliver!
White,Na,Gay,1969,Best Director,Midnight Cowboy
White,Na,Straight,1970,Best Director,Patton
White,Jewish,Straight,1972,Best Director,The French Connection
White,Na,Straight,1973,Best Director,Cabaret
White,Na,Straight,1973,Best Director,The Sting
White,Na,Straight,1975,Best Director,The Godfather Part II
White,Na,Straight,1976,Best Director,One Flew over the Cuckoo's Nest
White,Na,Straight,1976,Best Director,Rocky
White,Jewish,Straight,1978,Best Director,Annie Hall
White,Na,Straight,1979,Best Director,The Deer Hunter
White,Na,Straight,1980,Best Director,Kramer vs. Kramer
White,Na,Straight,1980,Best Director,Ordinary People
White,Baptist,Straight,1981,Best Director,Reds
White,Na,Straight,1982,Best Director,Gandhi
White,Na,Straight,1983,Best Director,Terms of Endearment
White,Na,Straight,1985,Best Director,Amadeus
White,Jewish,Straight,1986,Best Director,Out of Africa
White,Atheist,Straight,1990,Best Director,Platoon
White,Na,Straight,1988,Best Director,The Last Emperor
White,Jewish,Straight,1989,Best Director,Rain Man
White,Atheist,Straight,1990,Best Director,Born on the Fourth of July
White,Baptist,Straight,1991,Best Director,Dances with Wolves
White,Na,Straight,1992,Best Director,The Silence of the Lambs
White,Na,Straight,1993,Best Director,Unforgiven
White,Jewish,Straight,1994,Best Director,Schindler's List
White,Roman Catholic,Straight,1995,Best Director,Forrest Gump
White,Roman Catholic,Straight,1996,Best Director,Braveheart
White,Na,Straight,1997,Best Director,The English Patient
White,Atheist,Straight,1998,Best Director,Titanic
White,Jewish,Straight,1999,Best Director,Saving Private Ryan
White,Na,Straight,2000,Best Director,American Beauty
White,Atheist,Straight,2001,Best Director,Traffic
White,Na,Straight,2002,Best Director,A Beautiful Mind
White,See Note,Straight,2003,Best Director,The Pianist
White,Na,Straight,2004,Best Director,The Lord of the Rings: Return of the King
White,Na,Straight,2005,Best Director,Million Dollar Baby
Asian,Na,Straight,2006,Best Director,Brokeback Mountain
White,Roman Catholic,Straight,2007,Best Director,The Departed
White,Jewish,Straight,2008,Best Director,No Country for Old Men
White,Roman Catholic,Straight,2009,Best Director,Slumdog Millionaire
White,Na,Straight,2009,Best Director,The Hurt Locker
White,Na,Na,2011,Best Director,The King's Speech
White,Jewish,Straight,2012,Best Director,The Artist
Asian,Na,Straight,2013,Best Director,Life of Pi
White,Na,Bisexual,1929,Best Actor,The Last Command
White,Na,Straight,1930,Best Actor,In Old Arizona
White,Na,Straight,1930,Best Actor,Desraeli
White,Roman Catholic,Straight,1931,Best Actor,A Free Soul
White,Na,Straight,1932,Best Actor,The Champ
White,Roman Catholic,Gay,1934,Best Actor,The Private Life of Henry VIII
White,Na,Straight,1935,Best Actor,It Happened One Night
White,Anglican/episcopalian,Straight,1936,Best Actor,The Informer
White,Jewish,Straight,1937,Best Actor,The Story of Louis Pasteur
White,Roman Catholic,Straight,1938,Best Actor,Captains Courageous
White,Roman Catholic,Straight,1939,Best Actor,Boys Town
White,Na,Straight,1940,Best Actor,Goodbye Mr. Chips
White,Presbyterian,Straight,1941,Best Actor,The Philadelphia Story
White,Roman Catholic,Straight,1942,Best Actor,Sergeant York
White,Roman Catholic,Straight,1943,Best Actor,Yankee Doodle Dandy
White,Na,Straight,1944,Best Actor,Watch on the Rhine
White,Roman Catholic,Straight,1945,Best Actor,Going My Way
