Year,Ceremony,Award,Winner,Name,Film,Revenue,Budget,Runtime,Vote_average_list,Vote_count,Popularity,Genre,Release_Date
1944,17,Best Motion Picture,0,Double Indemnity ,Paramount,2500000,927262,107,8.2,643,11.853,Crime,1944-04-24
1944,17,Best Motion Picture,0,Gaslight ,Metro-Goldwyn-Mayer,0,2068000,114,7.4,118,6.868,Drama,1944-05-04
1944,17,Best Motion Picture,1,Going My Way ,Paramount,16300000,0,130,7.1,51,3.592,Drama,1944-05-15
1944,17,Best Motion Picture,0,Since You Went Away ,Selznick International Pictures,0,0,172,6.3,10,1.4,Drama,1944-07-20
1944,17,Best Motion Picture,0,Wilson ,20th Century-Fox,2000000,2995000,154,5.5,6,0.771,Romance,1944-08-01
1945,18,Best Motion Picture,0,Anchors Aweigh ,Metro-Goldwyn-Mayer,0,0,143,7.0,66,4.672,Comedy,1945-07-14
1945,18,Best Motion Picture,0,The Bells of St. Mary's ,Rainbow Productions,21300000,0,126,7.4,53,2.62,Drama,1945-12-27
1945,18,Best Motion Picture,1,The Lost Weekend ,Paramount,11000000,1250000,101,7.6,185,5.871,Drama,1945-11-29
1945,18,Best Motion Picture,0,Mildred Pierce ,Warner Brothers,5638000,1453000,111,7.7,127,6.637,Crime,1945-10-20
1945,18,Best Motion Picture,0,Spellbound ,Selznick International Pictures,7000000,1500000,111,7.4,279,8.192,Drama,1945-12-28
1946,19,Best Motion Picture,1,The Best Years of Our Lives ,Samuel Goldwyn Productions,23650000,2100000,172,7.8,207,9.803,Drama,1946-12-25
1946,19,Best Motion Picture,0,Henry V ,J. Arthur Rank-Two Cities Films,0,0,137,6.8,39,2.351,Drama,1944-11-24
1946,19,Best Motion Picture,0,It's a Wonderful Life ,Liberty Films,9644124,3180000,130,8.2,1695,36.346,Drama,1946-12-20
1946,19,Best Motion Picture,0,The Razor's Edge ,20th Century-Fox,0,0,145,6.8,32,3.329,Drama,1946-11-19
1946,19,Best Motion Picture,0,The Yearling ,Metro-Goldwyn-Mayer,0,0,128,6.5,36,2.116,Drama,1946-12-18
1947,20,Best Motion Picture,0,The Bishop's Wife ,Samuel Goldwyn Productions,0,0,109,7.2,67,5.19,Comedy,1947-12-09
1947,20,Best Motion Picture,0,Crossfire ,RKO Radio,1300000,250000,86,6.6,36,2.898,Crime,1947-08-15
1947,20,Best Motion Picture,1,Gentleman's Agreement ,20th Century-Fox,7800000,2000000,118,7.3,72,4.337,Drama,1947-11-11
1947,20,Best Motion Picture,0,Great Expectations ,J. Arthur Rank-Cineguild,0,0,118,7.1,108,6.693,Drama,1946-12-26
1947,20,Best Motion Picture,0,Miracle on 34th Street ,20th Century-Fox,0,0,96,7.5,221,23.002,Comedy,1947-10-01
1948,21,Best Motion Picture,1,Hamlet ,J. Arthur Rank-Two Cities Films,0,750000,155,7.6,76,4.424,Drama,1948-03-25
