Year,Ceremony,Award,Winner,Title,Company,Revenue,Budget,Runtime,Vote Average,Vote Count,Popularity,Genre,Release Date,Movie ID
1944,17,Best Motion Picture,0,Double Indemnity,Paramount,2500000,927262,107,8.2,644,5.554,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",1944-04-24,996
1944,17,Best Motion Picture,0,Gaslight,Metro-Goldwyn-Mayer,0,2068000,114,7.4,118,5.506,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",1944-05-04,13528
1944,17,Best Motion Picture,1,Going My Way,Paramount,16300000,0,130,7.1,51,2.555,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]",1944-05-15,17661
1944,17,Best Motion Picture,0,Since You Went Away,Vanguard Films,0,0,172,6.3,10,1.059,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",1944-07-20,42401
1944,17,Best Motion Picture,0,Wilson,20th Century Fox,2000000,2995000,154,5.5,6,0.6,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10402, 'name': 'Music'}]",1944-08-01,84084
1945,18,Best Motion Picture,0,Anchors Aweigh,Metro-Goldwyn-Mayer,0,0,143,7.0,66,5.08,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",1945-07-14,17889
1945,18,Best Motion Picture,0,The Bells of St. Mary's,Republic Pictures,21300000,0,126,7.4,53,2.492,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",1945-12-27,32430
1945,18,Best Motion Picture,1,The Lost Weekend,Paramount,11000000,1250000,101,7.6,185,4.578,"[{'id': 18, 'name': 'Drama'}]",1945-11-29,28580
1945,18,Best Motion Picture,0,Mildred Pierce,Warner Bros. Pictures,5638000,1453000,111,7.7,127,4.745,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",1945-10-20,3309
1945,18,Best Motion Picture,0,Spellbound,Selznick International Pictures,7000000,1500000,111,7.4,280,4.921,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",1945-12-28,4174
1946,19,Best Motion Picture,1,The Best Years of Our Lives,Samuel Goldwyn Productions,23650000,2100000,172,7.8,207,5.491,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",1946-12-25,887
1946,19,Best Motion Picture,0,The Chronicle History of King Henry the Fifth with His Battell Fought at Agincourt in France,Two Cities Films,0,0,137,6.8,39,1.727,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 36, 'name': 'History'}]",1944-11-24,22638
1946,19,Best Motion Picture,0,It's a Wonderful Life,RKO Radio Pictures,9644124,3180000,130,8.2,1699,26.107,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",1946-12-20,1585
1946,19,Best Motion Picture,0,The Razor's Edge,20th Century Fox,0,0,145,6.8,32,2.86,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1946-11-19,56135
1946,19,Best Motion Picture,0,The Yearling,Metro-Goldwyn-Mayer,0,0,128,6.5,36,2.516,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",1946-12-18,19049
1947,20,Best Motion Picture,0,The Bishop's Wife,Samuel Goldwyn Productions,0,0,109,7.2,68,2.501,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",1947-12-09,19490
1947,20,Best Motion Picture,0,Crossfire,RKO Radio Pictures,1300000,250000,86,6.6,36,1.901,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",1947-08-15,28120
1947,20,Best Motion Picture,1,Gentleman's Agreement,20th Century Fox,7800000,2000000,118,7.3,72,3.433,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1947-11-11,33667
1947,20,Best Motion Picture,0,Great Expectations,Cineguild,0,0,118,7.1,108,5.971,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1946-12-26,14320
1947,20,Best Motion Picture,0,Miracle on 34th Street,20th Century Fox,0,0,96,7.5,221,12.38,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",1947-10-01,11881
1948,21,Best Motion Picture,1,Hamlet,Two Cities Films,0,750000,155,7.6,76,3.586,"[{'id': 18, 'name': 'Drama'}]",1948-03-25,23383
1948,21,Best Motion Picture,0,Johnny Belinda,Warner Bros. Pictures,0,0,102,6.9,29,2.264,"[{'id': 18, 'name': 'Drama'}]",1948-09-14,62000
1948,21,Best Motion Picture,0,The Red Shoes,Independent Producers,0,500000,133,8.1,200,6.14,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1948-07-20,19542
1948,21,Best Motion Picture,0,The Snake Pit,20th Century Fox,0,0,108,7.2,34,1.548,"[{'id': 18, 'name': 'Drama'}]",1948-11-04,62694
1948,21,Best Motion Picture,0,The Treasure of the Sierra Madre,Warner Bros. Pictures,4307000,3800000,126,8.1,424,6.379,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",1948-01-24,3090
1949,22,Best Motion Picture,1,All the King's Men,Columbia Pictures,0,0,109,7.1,65,3.935,"[{'id': 18, 'name': 'Drama'}]",1949-11-08,25430
1949,22,Best Motion Picture,0,Battleground,Loew's,0,0,118,6.8,34,2.733,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",1949-11-09,31623
1949,22,Best Motion Picture,0,The Heiress,Paramount,0,2600000,115,7.7,60,3.613,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1949-10-06,28571
1949,22,Best Motion Picture,0,A Letter to Three Wives,20th Century Fox,0,0,103,7.2,43,2.665,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1949-01-20,45578
1949,22,Best Motion Picture,0,Twelve O'Clock High,20th Century Fox,3225000,0,132,7.1,49,3.175,"[{'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",1949-12-21,15497
1950,23,Best Motion Picture,1,All About Eve,20th Century Fox,63463,1400000,139,8.2,577,7.623,"[{'id': 18, 'name': 'Drama'}]",1950-11-09,705
1950,23,Best Motion Picture,0,Born Yesterday,Columbia Pictures,0,0,103,7.0,49,2.863,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",1950-12-25,24481
1950,23,Best Motion Picture,0,Father of the Bride,Metro-Goldwyn-Mayer,0,0,92,7.0,68,3.544,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",1950-06-16,20758
1950,23,Best Motion Picture,0,King Solomon's Mines,Metro-Goldwyn-Mayer,0,0,103,6.3,34,2.043,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 10749, 'name': 'Romance'}]",1950-11-09,43388
1950,23,Best Motion Picture,0,Sunset Boulevard,Paramount,5000000,1752000,110,8.3,887,8.062,"[{'id': 18, 'name': 'Drama'}]",1950-08-10,599
1951,24,Best Motion Picture,1,An American in Paris,Loew's,4500000,2723903,113,7.0,211,4.741,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",1951-08-08,2769
1951,24,Best Motion Picture,0,Decision Before Dawn,Bavaria Film,0,0,119,7.0,15,1.326,"[{'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",1951-12-21,4461
1951,24,Best Motion Picture,0,A Place in the Sun,Paramount,0,0,122,7.4,129,4.737,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1951-06-12,25673
1951,24,Best Motion Picture,0,Quo Vadis,Metro-Goldwyn-Mayer,30000000,8250000,171,7.1,120,4.767,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",1951-11-08,11620
