Actors,Awards,Box Office,Country,Director,Genre,Rated,Title,Writer(s),Year,imdbRating
"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Porter Hall",Nominated for 7 Oscars. Another 2 wins & 2 nominations.,N/A,USA,Billy Wilder,"Crime, Drama, Film-Noir, Mystery, Thriller",PASSED,Double Indemnity,"Billy Wilder (screenplay), Raymond Chandler (screenplay), James M. Cain (from the novel by)",1944,8.3
"Charles Boyer, Ingrid Bergman, Joseph Cotten, May Whitty",Won 2 Oscars. Another 3 wins & 7 nominations.,N/A,USA,George Cukor,"Crime, Drama, Mystery, Thriller",NOT RATED,Gaslight,"John Van Druten (screenplay), Walter Reisch (screenplay), John L. Balderston (screenplay), Patrick Hamilton (play)",1944,7.8
"Claudette Colbert, Jennifer Jones, Joseph Cotten, Shirley Temple",Won 1 Oscar. Another 8 nominations.,N/A,USA,"John Cromwell, Edward F. Cline, Tay Garnett, David O. Selznick","Drama, Romance, War",APPROVED,Since You Went Away,"Margaret Buell Wilder (book), Margaret Buell Wilder (adaptation), David O. Selznick (screenplay)",1944,7.6
"Woody Harrelson, Sandy Oian-Thomas, Shaun Brown, James Robert Miller",1 nomination.,"$652,997",USA,Craig Johnson,"Comedy, Drama",R,Wilson,"Daniel Clowes (graphic novel), Daniel Clowes (screenplay)",2017,5.8
"Frank Sinatra, Kathryn Grayson, Gene Kelly, José Iturbi",Won 1 Oscar. Another 4 nominations.,N/A,USA,George Sidney,"Comedy, Fantasy, Musical",PASSED,Anchors Aweigh,"Isobel Lennart (screen play), Natalie Marcin (suggested by a story by)",1945,7.2
"Bing Crosby, Ingrid Bergman, Henry Travers, William Gargan",Won 1 Oscar. Another 3 wins & 7 nominations.,N/A,USA,Leo McCarey,Drama,UNRATED,The Bells of St. Mary's,"Dudley Nichols (screenplay), Leo McCarey (story)",1945,7.4
"Joan Crawford, Jack Carson, Zachary Scott, Eve Arden",Won 1 Oscar. Another 2 wins & 6 nominations.,N/A,USA,Michael Curtiz,"Crime, Drama, Film-Noir, Mystery, Romance",PASSED,Mildred Pierce,"Ranald MacDougall (screenplay), James M. Cain (novel)",1945,8.0
"Ingrid Bergman, Gregory Peck, Michael Chekhov, Leo G. Carroll",Won 1 Oscar. Another 1 win & 6 nominations.,N/A,USA,Alfred Hitchcock,"Film-Noir, Mystery, Romance, Thriller",NOT RATED,Spellbound,"Ben Hecht (screen play), John Palmer (suggested by novel: ""The House of Dr. Edwardes""), Hilary St George Saunders (suggested by novel: ""The House of Dr. Edwardes""), Angus MacPhail (adaptation)",1945,7.6
"Derek Jacobi, Kenneth Branagh, Simon Shepherd, James Larkin",Won 1 Oscar. Another 9 wins & 13 nominations.,N/A,UK,Kenneth Branagh,"Action, Biography, Drama",PG-13,Henry V,"William Shakespeare (by), Kenneth Branagh (adapted for the screen by)",1989,7.7
"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell",Nominated for 5 Oscars. Another 6 wins & 1 nomination.,N/A,USA,Frank Capra,"Drama, Family, Fantasy",PG,It's a Wonderful Life,"Frances Goodrich (screenplay), Albert Hackett (screenplay), Frank Capra (screenplay), Jo Swerling (additional scenes), Philip Van Doren Stern (story)",1946,8.6
"Tyrone Power, Gene Tierney, John Payne, Anne Baxter",Won 1 Oscar. Another 2 wins & 3 nominations.,N/A,USA,Edmund Goulding,"Drama, Romance",APPROVED,The Razor's Edge,"Lamar Trotti (screen play), W. Somerset Maugham (from the novel by)",1946,7.5
"Gregory Peck, Jane Wyman, Claude Jarman Jr., Chill Wills",Won 2 Oscars. Another 1 win & 5 nominations.,N/A,USA,Clarence Brown,"Drama, Family, Western",APPROVED,The Yearling,"Paul Osborn (screen play), Marjorie Kinnan Rawlings (based on the Pulitzer Prize novel by)",1946,7.3
"Cary Grant, Loretta Young, David Niven, Monty Woolley",Won 1 Oscar. Another 4 nominations.,N/A,USA,Henry Koster,"Comedy, Drama, Fantasy, Romance",NOT RATED,The Bishop's Wife,"Robert E. Sherwood (screenplay), Leonardo Bercovici (screenplay), Robert Nathan (novel)",1947,7.6
"Robert Young, Robert Mitchum, Robert Ryan, Gloria Grahame",Nominated for 5 Oscars. Another 3 wins & 3 nominations.,N/A,USA,Edward Dmytryk,"Crime, Drama, Film-Noir",UNRATED,Crossfire,"John Paxton (screenplay), Richard Brooks (adapted from a novel by)",1947,7.4
