Title,Best Director,Best Actor,Best Actress,Best Supporting Actor,Best Supporting Actress,Popularity,Rated_PG-13,Rated_R,Release_Date_02,Release_Date_07,Release_Date_08,Release_Date_10,Release_Date_11,Revenue,Budget,Runtime,Genre_Action,Genre_Adventure,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Drama,Genre_History,Genre_Music,Genre_Romance,Genre_Sci-Fi
Roma,1,0,0,0,0,5.242999999999999,0,0,0,0,1,0,0,0,0,134,0,0,0,0,0,1,0,0,0,0
The Favourite,1,0,1,0,1,14.494000000000002,0,1,0,0,0,0,1,0,0,120,0,0,1,0,0,1,0,0,0,0
If Beale Street Could Talk,0,0,1,0,1,10.870999999999999,0,0,0,0,0,0,1,0,0,117,0,0,0,0,1,1,0,0,1,0
First Man,1,1,0,0,1,99.314,0,0,0,0,0,1,0,94140236,70000000,141,0,0,1,0,0,1,1,0,0,0
The Front Runner,0,0,0,0,0,4.898,0,0,0,0,0,0,1,674563,0,112,0,0,1,0,0,1,0,0,0,0
A Star Is Born,1,1,1,1,0,101.95299999999999,0,1,0,0,0,1,0,340740907,36000000,135,0,0,0,0,0,1,0,1,1,0
Black Panther,1,0,0,1,0,52.407,1,0,1,0,0,0,0,1346739107,200000000,134,1,1,0,0,0,0,0,0,0,1
Green Book,0,0,0,1,0,13.276,1,0,0,0,0,0,1,4409401,0,130,0,0,1,1,0,1,0,0,0,0
BlacKkKlansman,0,0,0,0,0,54.589,0,1,0,1,0,0,0,48271960,15000000,135,0,0,1,1,1,1,0,0,0,0
Can You Ever Forgive Me?,0,0,1,1,0,5.827999999999999,0,1,0,0,0,1,0,0,0,107,0,0,1,1,1,1,0,0,0,0
